,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds
362,Severomorsk,270.15,270.15,270.15,33.42,69.07,7.0,73,75
363,Hanna,265.89,265.89,265.89,-111.93,51.64,2.09,68,9
364,Praya,298.15,298.15,298.15,116.27,-8.71,0.56,94,75
365,Burriana,283.0,281.15,284.26,-0.08,39.89,2.6,93,0
366,Bacolod,294.86,294.86,294.86,122.95,10.68,2.86,86,0
367,Caravelas,302.45,302.45,302.45,-39.27,-17.73,5.34,57,23
368,Porkhov,272.15,272.15,272.15,29.55,57.77,4.0,74,100
369,Butka,259.48,259.48,259.48,63.78,56.72,5.04,93,100
370,Taksimo,241.49,241.49,241.49,114.84,56.36,0.63,88,63
371,Lodja,295.05,295.05,295.05,23.6,-3.52,0.38,96,100
372,Dembi Dolo,295.67,295.67,295.67,34.8,8.53,1.18,49,38
373,La Ronge,255.15,255.15,255.15,-105.3,55.1,1.0,84,40
374,Markova,242.15,242.15,242.15,104.21,52.21,2.0,74,40
375,Leshukonskoye,258.25,258.25,258.25,45.76,64.9,2.54,97,37
376,Tazmalt,287.15,287.15,287.15,4.4,36.39,1.0,76,40
377,Bandarbeyla,298.85,298.85,298.85,50.81,9.49,9.57,82,88
378,Biltine,291.69,291.69,291.69,20.93,14.53,2.5,11,0
379,Raudeberg,281.82,281.15,282.59,5.14,61.99,14.4,81,100
380,Merk,274.45,274.15,275.15,22.38,47.79,6.2,74,100
381,Seoul,272.15,269.15,276.15,126.98,37.57,1.0,69,75
382,Elizabeth City,291.11,288.71,293.71,-76.22,36.3,3.1,55,1
383,Kapuskasing,272.15,272.15,272.15,-82.43,49.42,5.7,74,90
384,Funadhoo,300.83,300.83,300.83,73.27,6.15,7.34,72,49
385,Genoa,278.07,273.71,283.15,8.93,44.41,4.1,53,4
386,Vardo,288.68,286.48,290.93,-77.74,39.62,2.1,59,1
387,Araouane,294.06,294.06,294.06,-3.53,18.9,2.03,11,0
388,Nishihara,276.78,271.48,280.15,139.53,35.74,5.7,52,75
389,Gamba,260.05,260.05,260.05,88.52,28.28,0.26,18,0
390,Soe,270.47,269.82,271.15,26.05,57.91,4.1,74,57
391,Pitkyaranta,265.02,265.02,265.02,31.48,61.57,2.48,85,17
