,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds,this_date
262,Rocha,304.42,304.42,304.42,-54.34,-34.48,3.53,46,54,2019-12-30
263,Sovetskiy,264.65,264.65,264.65,48.47,56.76,8.97,92,100,2019-12-30
264,Lorengau,301.17,301.17,301.17,147.27,-2.02,3.26,75,32,2019-12-30
265,Tempe,277.42,275.15,279.82,-111.91,33.41,4.6,60,1,2019-12-30
266,Barra do Garcas,304.43,304.43,304.43,-52.26,-15.89,1.83,54,100,2019-12-30
267,Panshi,249.57,249.57,249.57,126.05,42.94,2.42,98,94,2019-12-30
268,Labuhan,297.65,297.65,297.65,115.51,-2.54,0.72,93,100,2019-12-30
269,Rybnaya Sloboda,263.15,263.15,263.15,50.14,55.46,4.0,92,90,2019-12-30
270,Truth or Consequences,268.03,267.15,268.71,-107.25,33.13,3.1,62,1,2019-12-30
271,Gananoque,272.41,269.26,275.93,-76.16,44.33,6.7,93,90,2019-12-30
272,Mumbwa,298.04,298.04,298.04,27.06,-14.99,0.64,80,92,2019-12-30
273,Aykhal,239.15,239.15,239.15,111.51,65.95,2.0,66,0,2019-12-30
274,Fortuna,276.68,275.93,277.59,-124.16,40.6,3.1,100,90,2019-12-30
275,Vardo,282.03,278.15,288.15,-77.74,39.62,3.1,87,90,2019-12-30
276,Kyaikkami,300.38,300.38,300.38,97.57,16.08,6.07,74,35,2019-12-30
277,Srednekolymsk,237.36,237.36,237.36,153.71,67.46,1.98,94,0,2019-12-30
278,Romodanovo,265.95,265.95,265.95,45.33,54.42,7.96,92,100,2019-12-30
279,Eldorado,305.15,305.15,305.15,-48.11,-24.52,0.42,49,71,2019-12-30
280,Toyo,298.15,298.15,298.15,125.02,10.73,1.94,88,28,2019-12-30
281,Kudahuvadhoo,301.28,301.28,301.28,72.89,2.67,6.2,77,100,2019-12-30
282,Sampit,297.88,297.88,297.88,112.95,-2.54,1.1,93,86,2019-12-30
283,Qostanay,257.15,257.15,257.15,63.58,53.17,2.0,84,75,2019-12-30
284,Belaya Gora,238.24,238.24,238.24,146.19,68.54,1.36,77,0,2019-12-30
285,Baturaja,296.66,296.66,296.66,104.17,-4.12,1.05,97,100,2019-12-30
286,Saint-Philippe,270.05,268.15,272.59,-73.48,45.36,11.8,63,90,2019-12-30
287,Diamantina,297.64,297.64,297.64,-43.6,-18.24,2.81,68,34,2019-12-30
288,Ilheus,301.53,301.53,301.53,-39.05,-14.79,4.49,63,33,2019-12-30
289,Firminy,279.86,277.59,281.15,4.29,45.39,1.5,65,0,2019-12-30
290,Nefteyugansk,257.15,257.15,257.15,72.61,61.09,5.0,77,75,2019-12-30
291,Hokitika,287.37,287.37,287.37,170.96,-42.72,0.7,83,14,2019-12-30
292,Haines Junction,269.13,269.13,269.13,-137.51,60.75,3.66,96,100,2019-12-30
293,Walvis Bay,294.28,292.59,297.15,14.51,-22.95,3.6,50,3,2019-12-30
294,Ukiah,277.05,274.26,279.82,-123.21,39.15,1.5,93,90,2019-12-30
295,Lukovetskiy,273.15,273.15,273.15,41.92,64.29,4.0,98,90,2019-12-30
296,Samarai,297.24,297.24,297.24,150.67,-10.62,0.95,86,82,2019-12-30
297,Erenhot,254.77,254.77,254.77,111.97,43.65,6.54,69,0,2019-12-30
298,Santa Cruz,304.54,304.54,304.54,-36.02,-6.22,4.52,47,76,2019-12-30
299,Tripoli,281.78,276.48,284.26,22.37,37.51,7.2,43,75,2019-12-30
300,Alice Springs,301.15,301.15,301.15,133.88,-23.7,8.2,58,40,2019-12-30
301,Sayyan,290.78,290.78,290.78,44.32,15.17,0.5,31,0,2019-12-30
302,Faanui,300.53,300.53,300.53,-151.75,-16.48,5.59,76,100,2019-12-30
303,Wanning,274.7,273.15,277.04,13.53,48.64,0.5,46,53,2019-12-30
304,Palauig,296.98,296.98,296.98,119.9,15.44,1.59,78,0,2019-12-30
305,Salalah,300.15,300.15,300.15,54.1,17.01,3.6,74,75,2019-12-30
306,Zuwarah,286.43,286.43,286.43,12.08,32.93,6.51,57,64,2019-12-30
307,Conceicao do Araguaia,303.15,303.15,303.15,-49.26,-8.26,1.0,66,75,2019-12-30
308,Port-Gentil,304.15,304.15,304.15,8.78,-0.72,2.6,74,75,2019-12-30
309,Vega de Alatorre,295.67,295.67,295.67,-96.65,20.03,9.37,89,46,2019-12-30
310,Baripada,286.88,286.88,286.88,86.73,21.93,1.58,51,0,2019-12-30
311,Coquimbo,289.15,289.15,289.15,-71.34,-29.95,2.1,82,90,2019-12-30
312,Gazojak,277.24,277.24,277.24,61.4,41.19,3.52,69,83,2019-12-30
